question,nan,yes,no,dk,refused,answered,total,labeled_question,answered_nicely,answered_badly,p_nan,p_yes,p_no,p_dk,p_refused,p_bad,p_yes_adj,p_no_adj
account,0,84635,62053,0,0,146688,146688,Have an account?,146688,0,0.0,57.7,42.3,0.0,0.0,0.0,57.7,42.3
account_fin,0,82411,64277,0,0,146688,146688,Have an account in financial institutions?,146688,0,0.0,56.18,43.82,0.0,0.0,0.0,56.18,43.82
account_mob,72390,5444,68854,0,0,74298,146688,Have a mobile money account?,74298,0,49.35,7.33,92.67,0.0,0.0,0.0,3.71,46.94
q2,0,60715,84614,884,475,146688,146688,Has a debit card?,145329,1359,0.0,41.78,58.22,0.6,0.32,0.93,41.78,58.22
q3,85973,57355,2880,296,184,60715,146688,Has a debit card under their legal name?,60235,480,58.61,95.22,4.78,0.49,0.3,0.79,39.41,1.98
q4,85973,43109,17241,149,216,60715,146688,Have used debit card in past 12 months?,60350,365,58.61,71.43,28.57,0.25,0.36,0.6,29.56,11.83
q5,0,28307,116802,1091,488,146688,146688,Has a credit card?,145109,1579,0.0,19.51,80.49,0.74,0.33,1.08,19.51,80.49
q6,118381,24049,4134,63,61,28307,146688,Have used credit card in past 12 months?,28183,124,80.7,85.33,14.67,0.22,0.22,0.44,16.47,2.83
q8a,78673,13947,51646,1928,494,68015,146688,No account because too far?,65593,2422,53.63,21.26,78.74,2.83,0.73,3.56,9.86,36.51
q8b,78673,18185,45181,4140,509,68015,146688,No account because too expensive?,63366,4649,53.63,28.7,71.3,6.09,0.75,6.84,13.31,33.06
q8c,78673,12536,53342,1615,522,68015,146688,No account because no documentation?,65878,2137,53.63,19.03,80.97,2.37,0.77,3.14,8.82,37.55
q8d,78673,11114,53791,2527,583,68015,146688,No account because no trust?,64905,3110,53.63,17.12,82.88,3.72,0.86,4.57,7.94,38.43
q8e,78673,4793,60920,1708,593,68014,146687,No account because of religon?,65713,2301,53.63,7.29,92.71,2.51,0.87,3.38,3.38,42.99
q8f,78673,42717,23426,1339,533,68015,146688,No account because no money?,66143,1872,53.63,64.58,35.42,1.97,0.78,2.75,29.95,16.42
q8g,78673,10999,54587,1860,569,68015,146688,No account because someone close has it?,65586,2429,53.63,16.77,83.23,2.73,0.84,3.57,7.78,38.59
q8h,78673,14631,50760,2038,586,68015,146688,No account because cannot get one?,65391,2624,53.63,22.37,77.63,3.0,0.86,3.86,10.37,36.0
q8i,78673,20363,45281,1771,600,68015,146688,No account because no need for it?,65644,2371,53.63,31.02,68.98,2.6,0.88,3.49,14.38,31.99
q9,68015,65141,12713,351,468,78673,146688,Has incoming deposit activity?,77854,819,46.37,83.67,16.33,0.45,0.59,1.04,44.87,8.76
q11,68015,65858,11866,409,540,78673,146688,Has withdrawal activity?,77724,949,46.37,84.73,15.27,0.52,0.69,1.21,45.44,8.19
q14,68015,11531,66358,357,427,78673,146688,Have made transactions on mobile?,77889,784,46.37,14.8,85.2,0.45,0.54,1.0,7.94,45.69
q16,0,26032,119433,884,339,146688,146688,Have made transaction on internet?,145465,1223,0.0,17.9,82.1,0.6,0.23,0.83,17.9,82.1
q17a,0,18070,127786,454,378,146688,146688,Saved money for business purposes?,145856,832,0.0,12.39,87.61,0.31,0.26,0.57,12.39,87.61
q17b,0,30294,115245,683,466,146688,146688,Saved money for retirement?,145539,1149,0.0,20.82,79.18,0.47,0.32,0.78,20.82,79.18
q17c,0,28175,117672,492,349,146688,146688,Saved money for education?,145847,841,0.0,19.32,80.68,0.34,0.24,0.57,19.32,80.68
q18a,0,36160,109194,741,593,146688,146688,Saved in formal institutions?,145354,1334,0.0,24.88,75.12,0.51,0.4,0.91,24.88,75.12
q18b,31125,13387,101006,706,464,115563,146688,Saved in informal institutions?,114393,1170,21.22,11.7,88.3,0.61,0.4,1.01,9.22,69.56
q20,0,20543,125121,528,496,146688,146688,Has loan for real estate?,145664,1024,0.0,14.1,85.9,0.36,0.34,0.7,14.1,85.9
q21a,0,18379,127337,518,454,146688,146688,Borrowed money from financial institutions?,145716,972,0.0,12.61,87.39,0.35,0.31,0.66,12.61,87.39
q21b,1000,14972,129682,591,443,145688,146688,Borrowed money from stores?,144654,1034,0.68,10.35,89.65,0.41,0.3,0.71,10.28,89.04
q21c,0,35313,110385,511,479,146688,146688,Borrowed money from close relationships?,145698,990,0.0,24.24,75.76,0.35,0.33,0.67,24.24,75.76
q21d,0,5964,139561,698,465,146688,146688,Borrowed money from informal lenders?,145525,1163,0.0,4.1,95.9,0.48,0.32,0.79,4.1,95.9
q22a,0,11257,134666,420,345,146688,146688,Borrowed money for education?,145923,765,0.0,7.71,92.29,0.29,0.24,0.52,7.71,92.29
q22b,0,16487,129392,454,355,146688,146688,Borrowed money for emergencies?,145879,809,0.0,11.3,88.7,0.31,0.24,0.55,11.3,88.7
q22c,0,9535,136316,453,384,146688,146688,Borrowed money for business?,145851,837,0.0,6.54,93.46,0.31,0.26,0.57,6.54,93.46
q26,31125,21472,92849,850,392,115563,146688,Has remitted money domestically recently?,114321,1242,21.22,18.78,81.22,0.74,0.34,1.07,14.79,63.99
q27a,125216,14906,6493,43,30,21472,146688,Remitted by cash?,21399,73,85.36,69.66,30.34,0.2,0.14,0.34,10.2,4.44
q27b,125216,6412,14956,54,50,21472,146688,Remitted by formal institutions?,21368,104,85.36,30.01,69.99,0.25,0.23,0.48,4.39,10.25
q27c,125216,3842,17488,95,47,21472,146688,Remitted by mobile phone?,21330,142,85.36,18.01,81.99,0.44,0.22,0.66,2.64,12.0
q27d,125216,5222,16110,94,46,21472,146688,Remitted by money transfer service?,21332,140,85.36,24.48,75.52,0.44,0.21,0.65,3.58,11.06
q28,31125,26507,87916,748,392,115563,146688,Has received money domestically recently?,114423,1140,21.22,23.17,76.83,0.65,0.34,0.99,18.25,60.53
q29a,120181,19712,6709,44,42,26507,146688,Received by cash?,26421,86,81.93,74.61,25.39,0.17,0.16,0.32,13.48,4.59
q29b,120181,6374,20022,77,34,26507,146688,Received by formal institutions?,26396,111,81.93,24.15,75.85,0.29,0.13,0.42,4.36,13.71
q29c,120181,4004,22354,110,39,26507,146688,Received by mobile phone?,26358,149,81.93,15.19,84.81,0.41,0.15,0.56,2.74,15.33
q29d,120181,6098,20236,133,40,26507,146688,Received by money transfer service?,26334,173,81.93,23.16,76.84,0.5,0.15,0.65,4.19,13.88
q30,0,85611,59989,815,273,146688,146688,Has paid for utilities recently?,145600,1088,0.0,58.8,41.2,0.56,0.19,0.74,58.8,41.2
q31a,61077,62323,23038,170,80,85611,146688,Paid utilities by cash?,85361,250,41.64,73.01,26.99,0.2,0.09,0.29,42.61,15.75
q31b,61077,27937,57169,310,195,85611,146688,Paid utilities by banking?,85106,505,41.64,32.83,67.17,0.36,0.23,0.59,19.16,39.2
q31c,61077,3569,81549,310,183,85611,146688,Paid utilities by mobile phone?,85118,493,41.64,4.19,95.81,0.36,0.21,0.58,2.45,55.91
q32,31125,26146,88206,810,401,115563,146688,Has paid for education recently?,114352,1211,21.22,22.86,77.14,0.7,0.35,1.05,18.01,60.77
q33a,120542,23223,2858,40,25,26146,146688,Paid for education by cash?,26081,65,82.18,89.04,10.96,0.15,0.1,0.25,15.87,1.95
q33b,120542,3495,22516,96,39,26146,146688,Paid for education by banking?,26011,135,82.18,13.44,86.56,0.37,0.15,0.52,2.4,15.42
q33c,120542,889,25099,116,42,26146,146688,Paid for education by mobile phone?,25988,158,82.18,3.42,96.58,0.44,0.16,0.6,0.61,17.21
q34,0,48979,96642,620,447,146688,146688,Received wage payment recently?,145621,1067,0.0,33.63,66.37,0.42,0.3,0.73,33.63,66.37
q35,97709,15087,33451,243,198,48979,146688,Have been employed by the public sector recently?,48538,441,66.61,31.08,68.92,0.5,0.4,0.9,10.38,23.01
q36a,97709,18381,30405,83,110,48979,146688,Received wage payment by cash?,48786,193,66.61,37.68,62.32,0.17,0.22,0.39,12.58,20.81
q36bc,97709,32797,16182,0,0,48979,146688,Received wage payment by banking?,48979,0,66.61,66.96,33.04,0.0,0.0,0.0,22.36,11.03
q36d,97709,931,47742,184,122,48979,146688,Received wage payment by mobile?,48673,306,66.61,1.91,98.09,0.38,0.25,0.62,0.64,32.75
q39,0,21459,124030,852,347,146688,146688,Received gov transfers recently?,145489,1199,0.0,14.75,85.25,0.58,0.24,0.82,14.75,85.25
q40a,125229,6479,14863,69,48,21459,146688,Received gov transfers by cash?,21342,117,85.37,30.36,69.64,0.32,0.22,0.55,4.44,10.19
q40bc,125229,14164,7295,0,0,21459,146688,Received gov transfers by banking?,21459,0,85.37,66.0,34.0,0.0,0.0,0.0,9.66,4.97
q40d,125229,384,20918,107,50,21459,146688,Received gov transfers by mobile?,21302,157,85.37,1.8,98.2,0.5,0.23,0.73,0.26,14.37
q43,31125,23956,90573,727,307,115563,146688,Received agriculture payments recently?,114529,1034,21.22,20.92,79.08,0.63,0.27,0.89,16.48,62.3
q44a,122732,22615,1250,64,27,23956,146688,Received agriculture payments by cash?,23865,91,83.67,94.76,5.24,0.27,0.11,0.38,15.47,0.86
q44b,122732,1661,22157,89,49,23956,146688,Received agriculture payments by banking?,23818,138,83.67,6.97,93.03,0.37,0.2,0.58,1.14,15.19
q44c,122732,1037,22772,101,46,23956,146688,Received agriculture payments by mobile?,23809,147,83.67,4.36,95.64,0.42,0.19,0.61,0.71,15.62
saved,0,80029,66659,0,0,146688,146688,Has saved money recently?,146688,0,0.0,54.56,45.44,0.0,0.0,0.0,54.56,45.44
borrowed,0,62777,83911,0,0,146688,146688,Has borrowed money recently?,146688,0,0.0,42.8,57.2,0.0,0.0,0.0,42.8,57.2
