economy,ecnmycode,regionwb,pop_adult,wgt,female,age,educ,inc_q,q1a,account,q1b,q2,q3a,q3b,q4,q5,q6,q7,q8a,q8b,q9a,q9b,q9c,q9d,q10a,q10b,q10c,q10d,q10e,q10f,q10g,q11,q12a,q12b,q13a,q13b,q14a,q14b,q14c,q14d,q14e,q15a,q16,q17,q18,q15b,q15c,q15d,q15e,q15a1a,q15a1b,q15a1c
Afghanistan,AFG,South Asia,15112214.0,1.1657768624434,2,40.0,1.0,5,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,1,1.0,1.0,2.0,2.0,2,2,2,2,2,2,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.34673469465001394,2,38.0,2.0,5,1,1,0.0,3.0,2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
Afghanistan,AFG,South Asia,15112214.0,0.34673469465001394,1,32.0,2.0,3,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2,0.0,0.0,0.0,0.0,2,2,2,1,2,2,2.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0
Afghanistan,AFG,South Asia,15112214.0,0.34673469465001394,1,50.0,1.0,1,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2,0.0,0.0,0.0,0.0,2,1,2,2,2,2,2.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.372909257067401,1,58.0,2.0,5,4,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2,0.0,0.0,0.0,0.0,2,2,1,2,1,1,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0
Afghanistan,AFG,South Asia,15112214.0,0.34673469465001394,2,45.0,2.0,5,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.532356263095096,1,18.0,1.0,4,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1,1.0,1.0,2.0,1.0,2,2,2,2,2,2,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,3.67841275399942,1,70.0,1.0,3,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.9824251671257991,2,15.0,1.0,3,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.9824251671257991,2,15.0,1.0,4,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1,2.0,2.0,2.0,1.0,2,2,2,2,2,2,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
