labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Has borrowed money from family or friends?,23.19,17.85,25.25,22.55,23.68,18.9,14.73,5.34,-10.52,-7.82,-8.95,-4.17
Borrowed money from close relationships?,28.63,23.28,26.48,27.66,27.73,27.29,21.77,5.35,-4.71,-5.89,-5.96,-5.52
Borrowed from close relationships?,33.09,28.11,33.59,31.0,30.08,30.04,28.26,4.98,-5.33,-2.74,-1.82,-1.78
