labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Has borrowed money from family or friends?,31.38,28.05,33.25,31.9,31.93,30.71,23.44,3.33,-9.81,-8.46,-8.49,-7.27
Borrowed money from close relationships?,26.43,23.3,31.63,27.8,24.24,23.14,20.06,3.13,-11.57,-7.74,-4.18,-3.08
Borrowed from close relationships?,30.23,25.93,31.67,30.29,31.75,26.5,22.06,4.3,-9.61,-8.23,-9.69,-4.44
