labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Received wage payment by banking?,27.66,17.7,13.75,19.83,20.82,27.93,29.9,9.96,16.15,10.07,9.08,1.97
Received wages through banking?,15.65,6.05,3.69,6.51,9.09,12.0,18.47,9.6,14.78,11.96,9.38,6.47
