labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Borrowed money from financial institutions?,15.03,9.64,10.44,11.29,11.29,13.6,15.15,5.39,4.71,3.86,3.86,1.55
Borrowed from formal institutions?,9.71,6.48,5.78,6.67,7.49,8.68,10.42,3.23,4.64,3.75,2.93,1.74
