labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Received gov transfers by banking?,7.68,9.29,8.69,10.89,8.48,8.68,6.0,-1.61,-2.69,-4.89,-2.48,-2.68
Received gov transfers by banking?,11.32,7.81,7.96,8.85,9.89,9.4,10.76,3.51,2.8,1.91,0.87,1.36
