labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Received wage payment by banking?,31.13,26.41,20.17,22.15,24.41,28.89,40.59,4.72,20.42,18.44,16.18,11.7
Received wages through banking?,28.48,22.77,12.74,18.18,21.44,28.42,38.52,5.71,25.78,20.34,17.08,10.1
