labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Received gov transfers by banking?,8.05,12.27,13.12,11.61,11.7,9.93,7.78,-4.22,-5.34,-3.83,-3.92,-2.15
Received gov transfers by banking?,15.57,18.68,15.29,16.29,18.47,19.6,16.61,-3.11,1.32,0.32,-1.86,-2.99
