labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Has borrowed money from family or friends?,25.95,25.33,30.99,27.97,24.76,22.72,23.49,0.62,-7.5,-4.48,-1.27,0.77
Borrowed money from close relationships?,21.73,21.21,26.23,24.18,20.46,19.71,18.63,0.52,-7.6,-5.55,-1.83,-1.08
Borrowed from close relationships?,24.13,22.64,27.49,24.62,22.61,23.2,20.18,1.49,-7.31,-4.44,-2.43,-3.02
