labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Borrowed money from financial institutions?,13.54,12.06,10.2,11.96,11.89,13.41,14.72,1.48,4.52,2.76,2.83,1.31
Borrowed from formal institutions?,14.89,12.33,10.27,12.35,12.61,14.32,16.09,2.56,5.82,3.74,3.48,1.77
