labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Has borrowed money from family or friends?,13.6,11.53,11.87,12.2,12.65,12.96,12.26,2.07,0.39,0.06,-0.39,-0.7
Borrowed money from close relationships?,16.0,12.85,12.97,14.41,16.17,14.4,13.13,3.15,0.16,-1.28,-3.04,-1.27
Borrowed from close relationships?,16.98,14.27,12.82,15.15,15.4,15.29,17.41,2.71,4.59,2.26,2.01,2.12
