labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Borrowed money from financial institutions?,20.87,17.12,16.3,18.72,18.6,20.07,19.89,3.75,3.59,1.17,1.29,-0.18
Borrowed from formal institutions?,20.05,15.76,14.91,16.44,17.46,18.25,20.49,4.29,5.58,4.05,3.03,2.24
