labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Received gov transfers by banking?,21.72,24.86,28.62,29.09,26.03,20.56,16.0,-3.14,-12.62,-13.09,-10.03,-4.56
Received gov transfers by banking?,31.24,36.1,34.79,37.22,36.92,32.53,29.23,-4.86,-5.56,-7.99,-7.69,-3.3
