labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Has incoming deposit activity?,88.45,84.82,76.96,84.11,86.79,89.31,91.78,3.63,14.82,7.67,4.99,2.47
Have deposit activity recently?,88.49,84.99,78.59,83.83,86.16,89.15,92.18,3.5,13.59,8.35,6.02,3.03
