labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Received wage payment by banking?,51.88,45.59,39.19,44.31,45.86,52.53,56.49,6.29,17.3,12.18,10.63,3.96
Received wages through banking?,53.19,48.35,40.93,45.82,48.71,53.93,59.24,4.84,18.31,13.42,10.53,5.31
