labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Has borrowed money from family or friends?,14.25,12.11,17.77,14.95,12.54,11.99,9.58,2.14,-8.19,-5.37,-2.96,-2.41
Borrowed money from close relationships?,12.64,11.95,20.34,14.92,11.25,9.78,8.2,0.69,-12.14,-6.72,-3.05,-1.58
Borrowed from close relationships?,11.62,11.44,18.39,12.36,10.54,10.09,8.47,0.18,-9.92,-3.89,-2.07,-1.62
