labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Has used mobile phones to receive money?,14.47,12.66,8.67,9.78,11.92,14.9,18.7,1.81,10.03,8.92,6.78,3.8
Have made transactions on mobile?,7.31,5.32,2.2,2.32,4.17,6.36,12.99,1.99,10.79,10.67,8.82,6.63
Have made transaction on internet?,3.2,2.17,1.12,1.33,1.55,2.8,5.26,1.03,4.14,3.93,3.71,2.46
Have used mobile/internet banking recently?,10.58,7.34,3.64,5.26,6.15,8.82,16.62,3.24,12.98,11.36,10.47,7.8
