labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Borrowed money from financial institutions?,7.21,6.13,3.32,4.5,5.75,6.55,10.94,1.08,7.62,6.44,5.19,4.39
Borrowed from formal institutions?,8.37,6.32,4.39,5.3,6.15,8.14,10.62,2.05,6.23,5.32,4.47,2.48
