labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Has incoming deposit activity?,23.59,18.53,7.95,11.37,16.37,23.15,37.25,5.06,29.3,25.88,20.88,14.1
Have deposit activity recently?,23.51,16.4,8.93,12.2,15.07,21.29,33.9,7.11,24.97,21.7,18.83,12.61
