labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Received wage payment by banking?,10.85,6.92,2.29,3.38,6.07,9.3,18.3,3.93,16.01,14.92,12.23,9.0
Received wages through banking?,11.45,6.94,2.77,4.92,6.38,9.55,17.47,4.51,14.7,12.55,11.09,7.92
