labeled_question,f_p_yes_adj,m_p_yes_adj,Q1_p_yes_adj,Q2_p_yes_adj,Q3_p_yes_adj,Q4_p_yes_adj,Q5_p_yes_adj,gender_gap,gap1,gap2,gap3,gap4
Has borrowed money from family or friends?,37.85,35.99,35.46,37.28,36.74,37.64,37.16,1.86,1.7,-0.12,0.42,-0.48
Borrowed money from close relationships?,39.61,38.55,36.64,39.8,39.85,41.03,38.07,1.06,1.43,-1.73,-1.78,-2.96
Borrowed from close relationships?,33.19,29.31,26.61,30.48,31.05,33.18,33.07,3.88,6.46,2.59,2.02,-0.11
